place_id,name,category,subcategory,district,city,latitude,longitude,avg_rating,review_count,review_popularity,quality_score,nature_score,adventure_score,history_score,photography_score,food_score,relaxation_score,family_score,shopping_score,weather_sensitive,environment,map_ready,feature_text
PLC0000027,23 Palm,accommodation,hotel,Galle,Galle,5.9981731,80.2751898,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,23 Palm accommodation hotel
PLC0000028,24/7 SuperMarket & Pharmacy,shopping,convenience,Colombo,Colombo 13,6.9511058,79.8603994,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,24/7 SuperMarket & Pharmacy shopping convenience
PLC0000029,24 Seven,shopping,convenience,Colombo,,6.9145165,79.8699018,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,24 Seven shopping convenience
PLC0000030,25 RAMPART STREET,accommodation,Bangalows,Galle,Galle,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,25 RAMPART STREET accommodation Bangalows
PLC0000031,250 For Foreigners,shopping,ticket,Hambantota,,5.9774969,80.7379596,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,250 For Foreigners shopping ticket
PLC0000032,256 Townhouse Rest,accommodation,hotel,Kandy,,7.2994191,80.636831,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,256 Townhouse Rest accommodation hotel
PLC0000033,27 OLD VILLAGE SPICE & HERBLE GARDEN.,activity,spice_garden,Matale,,,,,0,0.0,0.0,0.8,0.2,0.0,0.8,0.0,0.8,0.7,0.0,True,outdoor,False,27 OLD VILLAGE SPICE & HERBLE GARDEN. activity spice_garden
PLC0000034,283/2 Old Kottawa Road,accommodation,apartment,Colombo,,6.8688258,79.9089258,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,283/2 Old Kottawa Road accommodation apartment
PLC0000035,2nd Home,accommodation,guest_house,Kalutara,Horana,6.7230203,80.082718,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,2nd Home accommodation guest_house
PLC0000036,3 arch resort,accommodation,hotel,Badulla,,6.8840158,81.0481868,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,False,indoor,True,3 arch resort accommodation hotel
PLC0000037,"300 for foreigners, free for locals",shopping,ticket,Matale,,7.4973518,80.6219709,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"300 for foreigners, free for locals shopping ticket"
PLC0000038,30he kade,shopping,gift,Gampaha,,7.0930159,79.992898,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,30he kade shopping gift
PLC0000039,32 Celcius Nilaveli,accommodation,hotel,Trincomalee,Trincomalee,8.6791014,81.197132,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,32 Celcius Nilaveli accommodation hotel
PLC0000040,335 Holiday Homes,accommodation,apartment,Kandy,Kandy,7.2871848,80.6278698,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,335 Holiday Homes accommodation apartment
PLC0000041,34/1/1 Sumanarama,accommodation,guest_house,Colombo,Dehiwala-Mount Lavinia,6.8401082,79.8691665,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,34/1/1 Sumanarama accommodation guest_house
PLC0000042,3540LKR for foreigners (July 2025),shopping,ticket,Kandy,,7.2682679,80.5968195,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,3540LKR for foreigners (July 2025) shopping ticket
PLC0000043,35,attraction,museum,Badulla,,6.8166814,80.95938611389508,,0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.7,0.0,False,indoor,True,35 attraction museum
PLC0000044,36 Srijina Mawatha,shopping,mall,Kalutara,,6.7532216,79.9051121,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,36 Srijina Mawatha shopping mall
PLC0000045,360 Sands,accommodation,hotel,Matara,,5.9633857,80.6883355,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,360 Sands accommodation hotel
PLC0000046,360 Solution,shopping,electrical,Kurunegala,,7.9369507,80.3460727,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,360 Solution shopping electrical
PLC0000047,360deg Ella,food,restaurant,Badulla,,6.8732713,81.0491533,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,360deg Ella food restaurant
PLC0000048,360deg Madiha,food,restaurant,Matara,,5.9366146,80.5169467,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,360deg Madiha food restaurant
PLC0000049,360deg Sunset Bar,food,bar,Matara,,5.9363107,80.51674535946661,,0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,False,unknown,True,360deg Sunset Bar food bar
PLC0000050,3de Movies,shopping,video,Colombo,,6.8763266,79.9356308,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,3de Movies shopping video
PLC0000051,3R resraurant,food,restaurant,Ampara,,7.294230600000001,81.86623640407629,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,3R resraurant food restaurant
PLC0000052,4 Bedroom Apartment,accommodation,hotel,Nuwara Eliya,Nuwara Eliya,6.9821373,80.7601187,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,4 Bedroom Apartment accommodation hotel
PLC0000053,4 Electrical,shopping,hardware,Anuradhapura,,8.3103414,80.402569,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,4 Electrical shopping hardware
PLC0000054,4-S Burgers,food,fast_food,Colombo,,6.8904726,79.9271353,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,unknown,True,4-S Burgers food fast_food
PLC0000055,4 SVILLA,accommodation,hotel,Hambantota,,6.0330327,80.7988021,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,4 SVILLA accommodation hotel
PLC0000056,"400 for foreigners (2025), free for locals",shopping,ticket,Colombo,,6.9166647,79.8564522,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"400 for foreigners (2025), free for locals shopping ticket"
PLC0000057,"400 for foreigners, free for locals",shopping,ticket,Colombo,,6.9171174,79.8548408,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"400 for foreigners, free for locals shopping ticket"
PLC0000058,41 SUGAR,food,,Colombo,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,unknown,False,41 SUGAR food 
PLC0000059,42 LIGHT HOUSE STREET,accommodation,Bangalows,Galle,Galle,6.027748,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,42 LIGHT HOUSE STREET accommodation Bangalows
PLC0000060,45004 PADDY STORE,shopping,department_store,Vavuniya,,8.717045,80.3631762,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,45004 PADDY STORE shopping department_store
PLC0000061,45006 COP CITY UNIT 06,shopping,department_store,Vavuniya,,8.7169329,80.3634134,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,45006 COP CITY UNIT 06 shopping department_store
PLC0000062,45011 KALAIMAKAL NAKAR ROAD (கலைமகள் நகர் வீதி) starting,attraction,viewpoint,Vavuniya,,8.7170876,80.36033,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,45011 KALAIMAKAL NAKAR ROAD (கலைமகள் நகர் வீதி) starting attraction viewpoint
PLC0000063,45011KALIMAKAL NAKAR ROAD. (கலைமகள் நகர் வீதி),attraction,viewpoint,Vavuniya,,8.7182656,80.3631712,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,45011KALIMAKAL NAKAR ROAD. (கலைமகள் நகர் வீதி) attraction viewpoint
PLC0000064,45012 SCHOOL ROAD ENDING (பாடசாலை முன் சுற்றுவட்ட வீதி ),attraction,viewpoint,Vavuniya,,8.7168379,80.3617971,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,45012 SCHOOL ROAD ENDING (பாடசாலை முன் சுற்றுவட்ட வீதி ) attraction viewpoint
PLC0000065,45012 SCHOOL ROAD starting (பாடசாலை முன் சுற்றுவட்ட வீதி),attraction,viewpoint,Vavuniya,,8.7160156,80.3603526,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,45012 SCHOOL ROAD starting (பாடசாலை முன் சுற்றுவட்ட வீதி) attraction viewpoint
PLC0000066,49 Hotel Resort,accommodation,hotel,Badulla,Ella,6.8831359,81.0433887,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,False,indoor,True,49 Hotel Resort accommodation hotel
PLC0000067,4ever,shopping,hairdresser,Colombo,,6.8769753,79.8903584,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,4ever shopping hairdresser
PLC0000068,4th Anicut,attraction,pier,Ampara,,7.0618528,81.8057576,,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,False,unknown,True,4th Anicut attraction pier
PLC0000069,4th Peak Knuckles,attraction,viewpoint,Kandy,,7.4009436,80.810331,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,4th Peak Knuckles attraction viewpoint
PLC0000070,4th Village Heart Empowerment Centre Sittandy - Eravur,shopping,garden_centre,Batticaloa,,7.8151202,81.55831505538916,,0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.7,1.0,True,outdoor,True,4th Village Heart Empowerment Centre Sittandy - Eravur shopping garden_centre
PLC0000071,4,accommodation,apartment,Colombo,,6.898966,79.8540867,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,4 accommodation apartment
PLC0000072,5-Star Bakery,shopping,bakery,Colombo,,6.8318676,79.8725833,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,5-Star Bakery shopping bakery
PLC0000073,"50 for locals, 550 for foreigners",shopping,ticket,Galle,,6.028095,80.2184405,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"50 for locals, 550 for foreigners shopping ticket"
PLC0000074,"500 for foreigners, 100 for locals",shopping,ticket,Kandy,,7.2181584,80.5680133,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"500 for foreigners, 100 for locals shopping ticket"
PLC0000075,"500 for foreigners, free for locals",shopping,ticket,Matale,,7.4773457,80.623636,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,"500 for foreigners, free for locals shopping ticket"
PLC0000076,500LKR For Tourists,shopping,ticket,Matara,,5.9269997,80.5885119,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,500LKR For Tourists shopping ticket
PLC0000077,500r entry,shopping,ticket,Jaffna,,9.6124879,79.7744845,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,500r entry shopping ticket
PLC0000078,51 BUNGALOW,accommodation,Bangalows,Gampaha,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,51 BUNGALOW accommodation Bangalows
PLC0000079,55/6,accommodation,guest_house,Colombo,,6.873473,79.8985202,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,55/6 accommodation guest_house
PLC0000080,55 Fort Train Hostel,accommodation,hostel,Colombo,,6.935606,79.8501628,,0,0.0,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,False,unknown,True,55 Fort Train Hostel accommodation hostel
PLC0000081,598 Rest Inn,accommodation,guest_house,Badulla,,6.8726808,81.0486377,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,598 Rest Inn accommodation guest_house
PLC0000082,59b Rest Inn,accommodation,hostel,Badulla,,6.8726312,81.0487198,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,59b Rest Inn accommodation hostel
PLC0000083,5B restaurant,food,restaurant,Ampara,,7.362388,81.848811,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,5B restaurant food restaurant
PLC0000084,5Core,shopping,electronics,Trincomalee,,8.5785855,81.2332784,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,5Core shopping electronics
PLC0000085,5th Lane House,accommodation,hotel,Colombo,Colombo 03,6.9047564,79.8546435,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,5th Lane House accommodation hotel
PLC0000086,5th Peak Knuckles,attraction,viewpoint,Kandy,,7.4022112,80.8091531,,0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,outdoor,True,5th Peak Knuckles attraction viewpoint
PLC0000087,6.1 6.6 5.1 5.2 2.6 (4etage),accommodation,apartment,Colombo,,6.8829136,79.8642225,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,6.1 6.6 5.1 5.2 2.6 (4etage) accommodation apartment
PLC0000088,668,food,restaurant,Colombo,,6.9139566,79.8649163,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,668 food restaurant
PLC0000089,7-3,attraction,bridge,Mullaitivu,,9.1512655,80.49659215,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,unknown,True,7-3 attraction bridge
PLC0000090,7-Eleven,food,restaurant,Colombo,Thalawathugoda,6.8747419,79.9340758,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,7-Eleven food restaurant
PLC0000091,7-Eleven,food,restaurant,Matara,,5.9518419,80.4546773,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,7-Eleven food restaurant
PLC0000092,#750 Point Pedro,attraction,information,Jaffna,,9.6671609,80.0118342,,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,False,unknown,True,#750 Point Pedro attraction information
PLC0000093,7rose,food,restaurant,Colombo,,6.8760967,79.9353107,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,7rose food restaurant
PLC0000094,7RS Phone Shop,shopping,kiosk,Galle,,6.0336859,80.2182506,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,7RS Phone Shop shopping kiosk
PLC0000095,7TH HILL,accommodation,Home Stay Units,Badulla,Ella Pradeshiya Sabha,6.868833,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,7TH HILL accommodation Home Stay Units
PLC0000096,7th Sky Edyll,accommodation,hotel,Galle,,5.9772197,80.3510783,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,True,7th Sky Edyll accommodation hotel
PLC0000097,7th Sky Idyll,accommodation,guest_house,Galle,,5.9725109,80.3630922,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,7th Sky Idyll accommodation guest_house
PLC0000098,8/1,attraction,bridge,Mullaitivu,,9.1511275,80.50169626335796,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,unknown,True,8/1 attraction bridge
PLC0000099,845 trousers,shopping,clothes,Jaffna,,9.669538,80.0124437,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,845 trousers shopping clothes
PLC0000100,88 Chinese,food,restaurant,Colombo,Thunmulla,6.8946393,79.8607025,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,88 Chinese food restaurant
PLC0000101,9 A,accommodation,Home Stay Units,Galle,Galle,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,False,9 A accommodation Home Stay Units
PLC0000102,930 LKR,shopping,ticket,Kandy,Kandy,7.2996062,80.6405094,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,930 LKR shopping ticket
PLC0000103,96 DELIGHT SPICE GARDEN,activity,spice_garden,Matale,,,,,0,0.0,0.0,0.8,0.2,0.0,0.8,0.0,0.8,0.7,0.0,True,outdoor,False,96 DELIGHT SPICE GARDEN activity spice_garden
PLC0000104,98 acres Resort,accommodation,hotel,Badulla,Ella Pradeshiya Sabha,6.87086195,81.06266454631023,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,False,indoor,True,98 acres Resort accommodation hotel
PLC0000105,A & A International Optitions,shopping,optician,Colombo,,6.8959473,79.8563407,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A & A International Optitions shopping optician
PLC0000106,A and B rooms,accommodation,guest_house,Gampaha,,7.2319506,79.8416104,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,unknown,True,A and B rooms accommodation guest_house
PLC0000107,A.B.N.Trades,shopping,supermarket,Matara,Kamburupitiya,6.07944785,80.5659354539475,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A.B.N.Trades shopping supermarket
PLC0000108,A C Paul,shopping,doityourself,Colombo,,6.9355914,79.8664271,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A C Paul shopping doityourself
PLC0000109,A&D Food Centre,food,restaurant,Gampaha,,6.97344,79.8911566,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,A&D Food Centre food restaurant
PLC0000110,A.D.M. Dayan Stores,shopping,convenience,Nuwara Eliya,,7.0813674,80.8930685,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A.D.M. Dayan Stores shopping convenience
PLC0000111,A.D.N Auto Engineering,shopping,car_repair,Kandy,,7.2811628,80.6846193,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A.D.N Auto Engineering shopping car_repair
PLC0000112,A Frame Surf School,shopping,sports,Galle,,6.1277877,80.1043372,,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,True,indoor,True,A Frame Surf School shopping sports
PLC0000113,A.J. Industries,food,restaurant,Galle,,6.0671988500000005,80.1842070386329,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,A.J. Industries food restaurant
PLC0000114,A.L.R Store,shopping,convenience,Trincomalee,,8.4539363,81.2664425,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A.L.R Store shopping convenience
PLC0000115,A'la Carte Restaurant,food,restaurant,Galle,,5.9784608,80.3537012,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,A'la Carte Restaurant food restaurant
PLC0000116,A.M.A.CAREEM JEWELLERS,activity,tourist_shop,Gampaha,,,,,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,False,indoor,False,A.M.A.CAREEM JEWELLERS activity tourist_shop
PLC0000117,a&m cup cakes,food,cafe,Colombo,Colombo 03,6.8967609,79.8545669,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,a&m cup cakes food cafe
PLC0000118,A minute by tuk tuk,food,restaurant,Galle,,6.0269436,80.2196773,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,A minute by tuk tuk food restaurant
PLC0000119,A.N.S TIMERS & HARDWARE,shopping,hardware,Batticaloa,,7.9114214,81.5281316,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,indoor,True,A.N.S TIMERS & HARDWARE shopping hardware
PLC0000120,A one cafe,food,cafe,Colombo,,6.9238413,79.8501316,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,indoor,True,A one cafe food cafe
